id,tripId,scheduleRelationship,routeId,directionId,latitude,longitude,currentStopSequence,currentStatus,timestamp,stopId,id,licensePlate
1767_755,33645_11Z755_1_7_v_12_118_ASC,0,118,0,38.755149841308594,-9.113479614257812,15,2,1691159065,24370,1767,63-HX-29
2751_755,33644_10Z755_1_7_v_12_118_ASC,0,118,0,38.75027847290039,-9.158550262451172,37,2,1691159059,13507,2751,AG-12-TH
2479_754,33626_4Z754_1_7_v_10_201_DESC,0,201,1,38.7471809387207,-9.188779830932617,21,2,1691158988,10815,2479,91-BE-74
2253_754,33627_5Z754_1_7_v_10_201_DESC,0,201,1,38.739009857177734,-9.211009979248047,1,2,1691159069,8841,2253,80-52-ZE
201_46B,33385_1Z46B_1_7_v_7_239_CIRC,0,239,0,38.75815963745117,-9.143509864807129,16,2,1691159052,11306,201,97-87-VZ
2818_749,33378_1Z749_1_7_v_18_195_ASC,0,195,0,38.749549865722656,-9.102510452270508,10,2,1691159048,50228,2818,90-II-58
258_734,33650_4Z734_1_7_v_18_205_ASC,0,205,0,38.71498107910156,-9.128299713134766,10,2,1691159072,14802,258,AF-56-RM
2626_759,33998_8Z759_1_7_v_8_144_DESC,0,144,1,38.73065185546875,-9.10925006866455,33,2,1691159045,17566,2626,52-VP-86
2616_759,34002_11Z759_1_7_v_10_144_DESC,0,144,1,38.772361755371094,-9.117810249328613,12,2,1691159054,50079,2616,66-VI-44
2620_759,34001_10Z759_1_7_v_8_144_DESC,0,144,1,38.743831634521484,-9.113459587097168,25,2,1691159048,3706,2620,66-VI-33
6008_706,33759_18Z706_1_7_v_3_147_ASC,0,147,0,38.7276611328125,-9.140800476074219,4,2,1691159066,6906,6008,81-ZC-08
6004_706,33756_15Z706_1_7_v_16_147_ASC,0,147,0,38.725059509277344,-9.122329711914062,14,2,1691159064,11708,6004,82-ZC-35
2944_26B,33373_1Z26B_1_7_v_13_208_ASC,0,208,0,38.76551055908203,-9.098150253295898,18,2,1691159057,2511,2944,75-GO-13
2711_751,33535_11Z751_1_7_v_10_109_DESC,0,109,1,38.707279205322266,-9.173600196838379,26,2,1691159066,9415,2711,92-XQ-44
2789_751,33528_8Z751_1_7_v_13_109_DESC,0,109,1,38.698448181152344,-9.227450370788574,11,2,1691159017,4210,2789,AI-53-TL
2345_713,33954_6Z713_1_7_v_11_122_ASC,0,122,0,38.72343063354492,-9.159449577331543,3,2,1691159068,8512,2345,53-59-ZJ
2347_713,33949_5Z713_1_7_v_11_122_ASC,0,122,0,38.70719909667969,-9.158260345458984,15,2,1691159054,10009,2347,53-61-ZJ
2471_703,33413_1Z703_1_7_v_11_165_ASC,0,165,0,38.74504852294922,-9.199780464172363,38,2,1691159049,2806,2471,74-BC-70
2465_703,33414_2Z703_1_7_v_11_165_ASC,0,165,0,38.76702880859375,-9.181659698486328,25,2,1691159051,12810,2465,55-BH-00
2484_703,33415_3Z703_1_7_v_9_165_ASC,0,165,0,38.77391052246094,-9.161330223083496,16,2,1691159062,5950,2484,91-BE-76
2457_703,33416_4Z703_1_7_v_10_165_ASC,0,165,0,38.78628158569336,-9.142200469970703,0,2,1691159062,,2457,16-AZ-11
