stop_id,stop_name,stop_name_new,stop_short_name,stop_lat,stop_lon,operational_status,areas,region_id,region_name,district_id,district_name,municipality_id,municipality_name,parish_id,parish_name,locality,jurisdiction,stop_code,tts_stop_name,platform_code,parent_station,location_type,stop_url,has_pole,has_cover,has_shelter,shelter_code,shelter_maintainer,has_mupi,has_bench,has_trash_bin,has_lighting,has_electricity,docking_bay_type,last_infrastructure_maintenance,last_infrastructure_check,has_stop_sign,has_flag,flag_maintainer,has_pip_static,has_pip_audio,pip_audio_code,has_pip_realtime,pip_realtime_code,has_h2oa_signage,has_schedules,has_tactile_schedules,has_network_map,last_schedules_maintenance,last_schedules_check,last_flag_maintenance,last_flag_check,has_sidewalk,sidewalk_type,has_crossing,has_flat_access,has_wide_access,has_tactile_access,has_abusive_parking,wheelchair_boarding,last_accessibility_maintenance,last_accessibility_check,near_health_clinic,near_hospital,near_university,near_school,near_police_station,near_fire_station,near_shopping,near_historic_building,near_transit_office,near_beach,subway,light_rail,train,boat,airport,bike_sharing,bike_parking,car_parking
180602,Cm 1243 3 (Monte Gordo),a definir,a definir,38.966956,-8.995973,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180602,Caminho Municipal 1243 3 ( Monte Gordo ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180602,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180603,Cm 1243 (Qta Ourives),a definir,a definir,38.968781,-8.994995,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180603,Caminho Municipal 1243 ( Quinta Ourives ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180603,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180604,Cm 1243 (Qta Ourives),a definir,a definir,38.968853,-8.994919,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180604,Caminho Municipal 1243 ( Quinta Ourives ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180604,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180605,Cm 1243 (Qta Zarol),a definir,a definir,38.971908,-9.001278,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180605,Caminho Municipal 1243 ( Quinta Zarol ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180605,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180606,Cm 1243 (Qta Zarol),a definir,a definir,38.971816,-9.001238,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180606,Caminho Municipal 1243 ( Quinta Zarol ),N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180606,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180607,Em 524 (X) Monte Gordo,a definir,a definir,38.974218,-9.004923,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180607,Cruzamento Entre ( Estrada Municipal 524 ) E Monte Gordo,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180607,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180608,Em 524 (X) Monte Gordo,a definir,a definir,38.974187,-9.004824,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180608,Cruzamento Entre ( Estrada Municipal 524 ) E Monte Gordo,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180608,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180609,En 10 (X) B Bolonha,a definir,a definir,38.855668,-9.070997,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180609,Cruzamento Entre ( Estrada Nacional 10 ) E B Bolonha,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180609,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180610,En 10 (X) B Bolonha,a definir,a definir,38.855710,-9.071209,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180610,Cruzamento Entre ( Estrada Nacional 10 ) E B Bolonha,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180610,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180615,Av D Vic Af Valente (X) R Ram Curto,a definir,a definir,38.862010,-9.074739,ACTIVE,42,PT170,AML,11,Lisboa,1114,Vila Franca de Xira,,,Vila Franca de Xira,N/A,180615,Cruzamento Entre ( Avenida Dom Vicente Afonso Valente ) E Rua Ram Curto,N/A,N/A,0,https://on.carrismetropolitana.pt/stops/180615,N/A,UNKNOWN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
