code,new_name
160482,"Estrada Nacional 10 (Frente Terminal Portuário Sapec)"
160503,"Estrada Nacional 10 (Parque Indústrial)"
160531,"Praça Almirante Reis (Combatentes)"
160536,"Hospital da Luz de Setúbal"
160537,"Estrada Nacional 10 146"
160541,"Estrada Nacional 10 (Frente Grelhal)"
160544,"Estrada Nacional 10 (Frente Alojamento Local)"
160549,"Estada Nacional 10 42"
160550,"Estrada Nacional 10 Frente 42"
160552,"Estrada Nacional 10 Frente 92"
160553,"Estrada Nacional 10 132"
160556,"Estrada Nacional 10 (Herdade Arneiros)"
160557,"Estrada Nacional 10 (X) Rua de Setúbal"
160574,"Rua Famila Bronze 33"
160578,"Rua dos Descobrimentos Frente 257"
160585,"Escola Básica de Brejos do Clérigo"
160589,"Rua dos Vitoriosos Frente 54"
160606,"Estrada Nacional 10 (X) Rua do Casal dos Altos"
160740,"Avenida Baía de Setúbal (Mitrena)"
160747,"Praça da República"
160757,"Rua de Lisboa 255"
160758,"Rua de Lisboa Frente 263"
160773,"Rua 25 de Abril 60"
160774,"Rua 25 de Abril Frente 46"
160775,"Escola Básica de Vendas de Azeitão"
160776,"Frente Escola Básica de Vendas de Azeitão"
160778,"Estrada Nacional 10 (Frente Quinta da Bassaqueira)"
160779,"Escola Básica Vila Fresca de Azeitão"
160781,"Rua de Lisboa 349"
160783,"Rua de Lisboa (Skatepark)"
160785,"Rua de Lisboa (Jardim)  | Rua de Lisboa (Parque Urbano)"
160786,"Rua de Lisboa (Frente Jardim)  | Rua de Lisboa (Frente Parque Urbano)"
160787,"Estrada Nacional 10 (Parque da Bacalhôa)"
160793,"Rua de Lisboa (Frente Parque do Morango)"
160802,"Praia do Creiro (Parque de Estacionamento)"
160805,"Rua de Lisboa (Cartório Notarial)"
160807,"Rua de Lisboa (Parque do Morango)"
160845,"Estrada Nacional 10 (km 53)"
160897,"Estrada Nacional 10 (Quinta da Bassaqueira)"
160925,"Rua da Escola Preparatória (Escola)"
160961,"Avenida Mariano de Carvalho (Frente Escola)"
160965,"Rua Frederico Franco de Paiva 26"
160967,"Avenida de Moçambique (Supermercado)"
160996,"Rua do Perú (Escola)"
160997,"Escola Básica da Brejoeira"
160998,"Rua do Florex (Praceta)"
160999,"Pista de Atletismo de Setúbal"
161001,"Várzea (Terminal) P1"
161002,"Várzea (Terminal) P2"
161003,"Várzea (Terminal) P3"
161004,"Várzea (Terminal) P4"
161006,"Várzea (Terminal) P6"
162003,"Interface de Transportes de Setúbal (Terminal) P3"
162004,"Interface de Transportes de Setúbal (Terminal) P4"
162008,"Interface de Transportes de Setúbal (Terminal) P8"
