school_id,school_name,coordinates_lat,coordinates_lon
221363,"Escola Básica de Faião, Sintra",38.8729404,-9.357479699999999
221508,"Escola Básica de Fanhões, Loures",38.8808666,-9.1549104
223190,"Jardim de Infância de Fonte do Feto, Barreiro",38.6454809,-9.053026599999999
223300,"Escola Básica da Fonte Santa, Almada",38.6681563,-9.2040313
226440,"Escola Básica de Gâmbia, Setúbal",38.5575446,-8.766750499999999
226579,"Escola Básica da Lançada, Hortinha, Montijo",38.7026658,-8.9492966
228138,"Escola Básica de Jardia, Montijo",38.6649888,-8.924956400000001
228527,"Jardim de Infância de Lagameças, Palmela",38.6056808,-8.7812652
228801,"Escola Básica da Freguesia de Santo Isidoro, Lagoa, Mafra",38.939506,-9.3360662
228813,"Escola Básica da Lagoa da Palha, Palmela",38.5704425,-9.0004986
229337,"Escola Básica da Freguesia da Carvoeira, Fonte Boa da Brincosa, Mafra",38.9523568,-9.4027543
231174,"Escola Básica da Malveira da Serra, Cascais",38.711694,-9.4176571
231230,"Escola Básica de Manique, Cascais",38.7351934,-9.368070399999999
231253,"Escola Básica da Manjoeira, Loures",38.8275565,-9.174995599999999
231277,"Escola Básica de Manteigadas, Setúbal",38.540192,-8.8076847
231370,"Escola Básica de Marco Cabaço, Charneca de Caparica, Almada",38.6203107,-9.1931104
234126,"Escola Básica Raul Lino, Cascais",38.711694,-9.4176571
234291,"Escola Básica de Montelavar, Sintra",38.862488,-9.3319066
234515,"Escola Básica de Montinho da Cotovia, Pontes, Setúbal",38.5453042,-8.8174428
235222,"Escola Básica Samuel Johnson, Murganhal, Oeiras",38.7262272,-9.2768711
235301,"Escola Básica da Murteira, Loures",38.8639164,-9.1927607
236202,"Escola Básica Padre Andrade, Cascais",38.7249534,-9.3327289
236238,"Escola Básica da Quinta da Fidalga, Agualva, Sintra",38.7746875,-9.2979758
236287,"Jardim de Infância Cesaltina Fialho Gouveia, Alcabideche, Cascais",38.7301823,-9.4076852
236330,"Escola Básica Bruno Nascimento, Alcoitão, Cascais",38.7047476,-9.415792699999999
236354,"Escola Básica n.º 1 de Aldeia do Juso, Cascais",38.7295571,-9.4470251
236408,"Escola Básica de Alfeite, Almada",38.6610874,-9.154780800000001
236421,"Escola Básica de Alfragide, Amadora",38.734407,-9.2172114
236445,"Escola Básica do Alto de Algés, Oeiras",38.7087524,-9.2339159
236469,"Escola Básica n.º 1 de Alhos Vedros, Moita",38.6588133,-8.9863237
236548,"Escola Básica do Alto Estanqueiro, Montijo",38.7151328,-8.9557942
236585,"Escola Básica n.º 1 de Alverca do Ribatejo, Vila Franca de Xira",38.9146362,-9.026513999999999
236615,"Escola Básica de Amora, Seixal",38.5657964,-9.1002486
236627,"Escola Básica Fernando José dos Santos, Cascais",38.7186893,-9.4104403
236720,"Escola Básica de Arrentela, Seixal",38.61908409999999,-9.098712599999999
236860,"Jardim de Infância de Azenhas do Mar, Sintra",38.8010423,-9.4577241
237036,"Escola Básica da Bemposta, Loures",38.9125223,-9.133072199999999
237061,"Escola Básica Almada Negreiros, Cascais",38.72877150000001,-9.3831664
237085,"Escola Básica n.º 1 da Bobadela, Loures",38.8081863,-9.099984599999999
237188,"Escola Básica Sacadura Cabral, Brandoa, Amadora",38.7664997,-9.2151359
237190,"Escola Básica n.º 1 de Brejos do Assa, Palmela",38.5713449,-8.909519699999999
237218,"Escola Básica Alice Vieira, Buraca, Amadora",38.7418966,-9.210440900000002
237280,"Escola Básica n.º 1 do Cacém, Sintra",38.7655598,-9.2991169
237358,"Escola Básica n.º 1 de Camarate, Loures",38.7994383,-9.134915399999999
237437,"Escola Básica Francisco Vieira Caldas, Caneças, Odivelas",38.81318539999999,-9.228493199999999
237449,"Escola Básica de Canha, Montijo",38.766531,-8.6275769
237498,"Escola Básica Sylvia Philips, Carnaxide, Oeiras",38.7262272,-9.2768711
237644,"Escola Básica José Jorge Letria, Cascais",38.719755,-9.4363782
237917,"Escola Básica de Coina, Barreiro",38.6595124,-9.076890299999999
237978,"Escola Básica n.º 1 de Corroios, Seixal",38.6429842,-9.1551297
238028,"Escola Básica n.º 2 da Costa da Caparica, Almada",38.6553066,-9.189926800000002
