school_id,school_name,coordinates_lat,coordinates_lon
236627,"Escola Básica Fernando José dos Santos, Cascais",38.7186893,-9.4104403
236720,"Escola Básica de Arrentela, Seixal",38.6242989,-9.103019100000001
236755,"Jardim de Infância de Arroteias, Moita",38.64589,-8.9885436
236913,"Escola Básica n.º 4 da Baixa da Banheira, Moita",38.656108,-9.0414811
237036,"Escola Básica da Bemposta, Loures",38.8275565,-9.174995599999999
237061,"Escola Básica Almada Negreiros, Cascais",38.72892849999999,-9.383293799999999
237085,"Escola Básica n.º 1 da Bobadela, Loures",38.8081863,-9.099984599999999
237188,"Escola Básica Sacadura Cabral, Brandoa, Amadora",38.7644171,-9.214738299999999
237190,"Escola Básica n.º 1 de Brejos do Assa, Palmela",38.5694206,-8.8348959
237218,"Escola Básica Alice Vieira, Buraca, Amadora",38.7418966,-9.210440900000002
