stop_id,stop_name,stop_lat,stop_lon
040151,COINA (EN10-3) CAPELA N SRA REMÉDIOS,38.596000,-9.045520
040152,COINA (EN10-3) CAPELA N SRA REMÉDIOS,38.596000,-9.045480
040153,AV ESCOLA FUZILEIROS NAVAIS (QTA LOMBA),38.648400,-9.062690
040157,COINA (ZONA COMERCIAL/ ROTUNDA),38.581493,-9.044264
040159,RETAIL COINA,38.582300,-9.046030
040175,R. DOM MANUEL PRIMEIRO 290,38.601600,-9.047720
040181,RUA STARA ZAGORA 30 (CENTRO COMERCIAL),38.661836,-9.074296
060003,LISBOA (PÇ JOSÉ QUEIRÓS),38.773700,-9.104830
060007,Benfica (R Pereira Bernardes),38.751261,-9.197913
060013,Qta Granja - Av Uruguai,38.753253,-9.196310
060058,Pontinha (Metro),38.761200,-9.197300
060061,Pontinha (Metro),38.761730,-9.197058
060145,R MARQUÊS DE FRONTEIRA (ALTO CAMPLOLIDE),38.727700,-9.160780
060147,LISBOA (ALAMEDA EDGAR CARDOSO),38.729300,-9.156440
060165,Cç. Carriche / Estr. Militar,38.778000,-9.164280
060280,LNEC,38.758100,-9.141490
060281,Hosp. Júlio Matos,38.756400,-9.146800
060299,Lumiar,38.772177,-9.160933
060300,Lumiar,38.772200,-9.160790
060317,Pç. Aeroporto,38.762500,-9.130250
060318,Pç. Aeroporto,38.762400,-9.130210
060319,LNEC,38.757800,-9.142410
060345,Lumiar,38.773500,-9.161520
060347,Ameixoeira - Estr. Desvio,38.778900,-9.163410
060349,Cç. Carriche / Estr. Desvio,38.782900,-9.165190
060353,Cç. Carriche,38.777800,-9.164310
060367,Pontinha (Metro),38.761700,-9.196720
060368,Pontinha (Metro),38.761700,-9.196740
060371,Pontinha (Metro),38.761500,-9.196520
060373,Pontinha (Metro),38.761400,-9.197460
060375,R. C (Aeroporto),38.773900,-9.125890
060376,R. C (Aeroporto),38.773900,-9.125930
060377,R. C (Av. Berlim),38.770100,-9.127290
060385,ESTAÇÃO DE ALGÉS,38.698510,-9.227704
060407,R JOAQUIM ANTÓNIO AGUIAR (RITZ),38.725100,-9.155320
060421,AV 24 DE JULHO SANTOS,38.706488,-9.154250
062004,Belém (Estação),38.696170,-9.199643
062005,Belém (Estação),38.696222,-9.198339
070325,R. JOSÉ AFONSO 14,38.813000,-9.180240
070469,Qta Casal da Pipa (C Comercial),38.820100,-9.176480
070535,Lgo Marcos Romão Reis Junior,38.828500,-9.167040
070554,R Comandante Sacadura Cabral 82,38.816000,-9.154840
070836,R Santo Antão 2 (Jardim),38.854500,-9.144010
070871,R Santo Antão 9 (Parque RL),38.854200,-9.144680
071063,Av Carlos Teixeira (Rotunda),38.816205,-9.183503
071144,Sto António Cavaleiros (X),38.812600,-9.156040
071145,R Vergílio Ferreira (X) R Laura Ayres,38.810100,-9.175780
071146,R Vergílio Ferreira (X) R Laura Ayres,38.810100,-9.175820
071331,En 6-11 (Zona Comercial),38.783000,-9.104360
071397,R Franc Marques Beato (Moscavide),38.776100,-9.102490
071427,R Cidade Rio Janeiro (X) Mealhada,38.822200,-9.158600
090051,MOITA (ESTAÇÃO CP),38.645100,-8.996070
090163,CARVALHINHO (EM 533-1) HIPERMERCADO,38.644100,-8.979740
090245,FIDALGUINHOS,38.652400,-9.047140
090275,BAIXA BANHEIRA (R AMIZADE 137),38.649400,-9.046590
100141,MONTIJO (AV PESCADORES 107),38.706900,-8.978830
100158,CAIS DO SEIXALINHO - P5,38.700244,-9.005232
100219,RUA DOS DESCOBRIMENTOS ( S J CRAVEIRAS),38.665800,-8.584550
100220,RUA DOS DESCOBRIMENTOS ( S J CRAVEIRAS),38.665800,-8.584510
100282,PEGÕES (ESC BÁSICA 23),38.678900,-8.609990
100329,AFONSOEIRO (R JÚLIO DANTAS 90),38.712100,-8.949800
100330,AFONSOEIRO (R JÚLIO DANTAS 90),38.712100,-8.949770
110549,R Açores 20 (Olival Basto),38.791500,-9.164600
110550,R Açores 20 (Olival Basto),38.791600,-9.164580
110641,R Cesário Verde (Escola),38.814800,-9.202350
110642,R Cesário Verde (Escola),38.814700,-9.202400
110747,R José Carlos Ary dos Santos 1,38.811500,-9.210720
110816,R Lusitanos 24 (Serra Amoreira),38.811400,-9.195670
110817,R Raúl Brandão (X) R Idade Pedra,38.811300,-9.197200
110820,R Idade Pedra 41 (Serra Amoreira),38.810600,-9.196060
110857,R M Caldas Xavier 19 A,38.792200,-9.172960
130007,PALMELA (TERMINAL),38.570200,-8.905380
130095,BREJOS DO ASSA CCI-6121,38.572600,-8.837690
130096,BREJOS DO ASSA CCI-6121,38.572600,-8.837630
130097,BREJOS DO ASSA,38.568900,-8.840410
130098,BREJOS DO ASSA,38.568900,-8.840350
130140,N4 X R DO PATOLA,38.687700,-8.730840
130157,POCEIRÃO (EM 533) X FERNANDO PÓ,38.638500,-8.742190
130158,POCEIRÃO (EM 533) X FERNANDO PÓ,38.638500,-8.742120
130506,RIO FRIO (HERDADE) TERMINAL,38.674100,-8.858000
140115,FLOR MATA (EN 378) ANTES VIADUTO AE,38.611200,-9.106960
140117,FLOR MATA (EN 378) DEPOIS VIADUTO AE,38.608900,-9.106670
140127,CASAL MARCO (EN 10) ANTES X SUPERMERC,38.610600,-9.105970
140168,FOROS AMORA (ESTAÇÃO),38.620419,-9.127926
140203,ESTR FOROS AMORA 167A (ROTUNDA/ FARM),38.610200,-9.125130
140204,ESTR FOROS AMORA 167A (ROTUNDA/ FARM),38.610200,-9.125180
140239,SEIXAL AV REPÚBLICA (TRIBUNAL),38.638300,-9.105380
140240,SEIXAL AV REPÚBLICA (TRIBUNAL),38.638300,-9.105430
140263,PAIO PIRES (AVª JOSÉ RELVAS 24),38.624700,-9.084490
140265,P PIRES (AV JOSÉ RELVAS) JUNTA FREGUESIA,38.623400,-9.082240
140266,P PIRES (AV JOSÉ RELVAS) JUNTA FREGUESIA,38.623400,-9.082250
140273,P PIRES (R TOMÁS MELO 8) QTA FLAMÂNCIA,38.611800,-9.088780
140275,PAIO PIRES (QTA FLAMÂNCIA)R GEN H DEL 34,38.610300,-9.088200
140281,PAIO PIRES (AV JOSÉ RELVAS 24),38.624600,-9.084270
140283,SEIXAL (LARGO) AV DOM NUNO AL PEREIRA,38.644400,-9.102420
140285,SEIXAL R D NUNO Á PEREIRA (UNIÃO FREG),38.643325,-9.106443
140287,SEIXAL (AV REPÚBLICA) STA C MISERICÓRDIA,38.640404,-9.105409
140335,FARINHEIRAS (AV 8 MARÇO),38.620500,-9.090460
140517,FOGUETEIRO (AVª 1º MAIO) FTE POSTO CEPSA,38.616300,-9.110570
140554,REDONDOS TR RIO COINA 133 (x) R MIRA,38.572200,-9.072620
140561,R CASAL MARCO 170 (ROTUNDA),38.609200,-9.095150
140573,PAIO PIRES (AV METALÚRGICOS) BEIRA-RIO,38.626900,-9.084380
140574,PAIO PIRES (AV METALÚRGICOS) BEIRA-RIO,38.626900,-9.084410
140588,FOGUETEIRO AV LIB TIMOR LOR (SUBIDA),38.611500,-9.102590
140619,R NORBERTO ARAÚJO 14,38.607362,-9.160817
140650,STA MARTA PINHAL (AV RUI GRÁCIO 67),38.630100,-9.149660
140679,SEIXAL (FÓRUM) TRIBUNAL,38.639500,-9.101070
140710,MIRATEJO R EÇA QUEIROZ 6 (ESCOLA),38.653400,-9.146220
140737,FARINHEIRAS (AV GEN H DELGADO),38.621700,-9.090660
140738,FARINHEIRAS (AV GEN H DELGADO),38.621800,-9.090670
140743,R CID LOURENÇO MARQUES 4 (JARDIM),38.643100,-9.157990
140745,CORROIOS (EN10-1) (X) ALT MOINHO (TÚNEL),38.641700,-9.160430
140746,CORROIOS (EN10-1) (X) ALT MOINHO (TÚNEL),38.641800,-9.160450
140770,STA MTA PINHAL (CEMITÉRIO) R P ESTACADA,38.624700,-9.148720
140783,VL MILHAÇOS (AV LIBERDADE 80),38.626600,-9.164630
140788,PAIO PIRES (X) Bº CUCENA (R DESEMBARG),38.611800,-9.074460
140789,CORROIOS (AV 25 ABRIL 28B) CGD,38.643000,-9.152040
140859,PINHAL GENERAL AV 5 OUTUBRO 4854 (ROT),38.549900,-9.063950
