pattern_id;stop_sequence;stop_id;zones
2013_0_1;5;070321;Loures
2013_0_1;6;070324;Loures
2013_0_1;7;070329;Loures
2013_0_1;8;070327;Loures
2013_0_2;0;070328;Loures
2013_0_2;1;070329;Loures
2013_0_2;2;070323;Loures
2013_0_2;3;070322;Loures
2013_0_2;4;070297;Loures
2013_0_2;5;070295;Loures
2013_0_2;6;070294;Loures
2013_0_2;7;070291;Loures
2013_0_2;8;070289;Loures
2014_0_1;0;070331;Loures
2014_0_1;1;071599;Loures
2014_0_2;0;071599;Loures
2014_0_2;1;070331;Loures
2015_0_1;0;070335;Loures
2015_0_1;1;070338;Loures
2015_0_1;2;070339;Loures
2015_0_1;3;070341;Loures
2015_0_1;4;070343;Loures
2015_0_1;5;070317;Loures
2015_0_1;6;070319;Loures
2015_0_1;7;070301;Loures
2015_0_1;8;070299;Loures
2015_0_1;9;070321;Loures
2015_0_1;10;070324;Loures
2015_0_1;11;070329;Loures
2015_0_1;12;070327;Loures
2016_0_1;0;070064;Loures
2016_0_1;1;070348;Loures
2016_0_1;2;070350;Loures
2016_0_1;3;070352;Loures
2016_0_1;4;070354;Loures
2016_0_1;5;070020;Loures
2016_0_1;6;070022;Loures
2016_0_1;7;070024;Loures
2016_0_1;8;070025;Loures
2016_0_1;9;070042;Loures
2016_0_1;10;070027;Loures
2016_0_1;11;070029;Loures
2016_0_1;12;070032;Loures
2016_0_1;13;070250;Loures
2016_0_1;14;070043;Loures
2016_0_1;15;070356;Loures
2016_0_1;16;070358;Loures
2016_0_1;17;070359;Loures
2016_0_1;18;070361;Loures
2016_0_1;19;070474;Loures
2016_0_1;20;070471;Loures
2016_0_1;21;070363;Loures
2016_0_1;22;070369;Loures
2016_0_1;23;070470;Loures
2016_0_2;0;070470;Loures
2016_0_2;1;070369;Loures
2016_0_2;2;070364;Loures
2016_0_2;3;070472;Loures
2016_0_2;4;070473;Loures
2016_0_2;5;070362;Loures
2016_0_2;6;070360;Loures
2016_0_2;7;070357;Loures
2016_0_2;8;070355;Loures
2016_0_2;9;070283;Loures
2016_0_2;10;070035;Loures
2016_0_2;11;070037;Loures
2016_0_2;12;070028;Loures
2016_0_2;13;070041;Loures
2016_0_2;14;070026;Loures
2016_0_2;15;070023;Loures
2016_0_2;16;070021;Loures
2016_0_2;17;070019;Loures
2016_0_2;18;070353;Loures
2016_0_2;19;070351;Loures
2016_0_2;20;070349;Loures
2016_0_2;21;070347;Loures
2016_0_2;22;070063;Loures
2016_1_1;0;071565;Loures
2016_1_1;1;071116;Loures
2016_1_1;2;071071;Loures
2016_1_1;3;071070;Loures
2016_1_1;4;071068;Loures
2016_1_1;5;070064;Loures
2016_1_1;6;070348;Loures
2016_1_1;7;070350;Loures
2016_1_1;8;070352;Loures
2016_1_1;9;070354;Loures
2016_1_1;10;070020;Loures
2016_1_1;11;070022;Loures
2016_1_1;12;070024;Loures
2016_1_1;13;070025;Loures
2016_1_1;14;070042;Loures
2016_1_1;15;070027;Loures
2016_1_1;16;070029;Loures
2016_1_1;17;070032;Loures
2016_1_1;18;070250;Loures
2016_1_1;19;070043;Loures
2016_1_1;20;070356;Loures
2016_1_1;21;070358;Loures
2016_1_1;22;070359;Loures
2016_1_1;23;070361;Loures
2016_1_1;24;070474;Loures
2016_1_1;25;070471;Loures
2016_1_1;26;070363;Loures
2016_1_1;27;070369;Loures
2016_1_1;28;070470;Loures
2016_1_2;0;070470;Loures
2016_1_2;1;070369;Loures
2016_1_2;2;070364;Loures
2016_1_2;3;070472;Loures
2016_1_2;4;070473;Loures
2016_1_2;5;070362;Loures
2016_1_2;6;070360;Loures
2016_1_2;7;070357;Loures
2016_1_2;8;070355;Loures
2016_1_2;9;070283;Loures
2016_1_2;10;070035;Loures
2016_1_2;11;070037;Loures
2016_1_2;12;070028;Loures
2016_1_2;13;070041;Loures
2016_1_2;14;070026;Loures
2016_1_2;15;070023;Loures
2016_1_2;16;070021;Loures
2016_1_2;17;070019;Loures
2016_1_2;18;070353;Loures
2016_1_2;19;070351;Loures
2016_1_2;20;070349;Loures
2016_1_2;21;070347;Loures
2016_1_2;22;070063;Loures
2016_1_2;23;071067;Loures
2016_1_2;24;071069;Loures
2016_1_2;25;071072;Loures
2016_1_2;26;071115;Loures
2016_1_2;27;071565;Loures
2017_0_1;0;070064;Loures
2017_0_1;1;070348;Loures
2017_0_1;2;070350;Loures
2017_0_1;3;070352;Loures
2017_0_1;4;070354;Loures
2017_0_1;5;070020;Loures
2017_0_1;6;070022;Loures
2017_0_1;7;070024;Loures
2017_0_1;8;070025;Loures
2017_0_1;9;070042;Loures
2017_0_1;10;070027;Loures
2017_0_1;11;070029;Loures
2017_0_1;12;070032;Loures
2017_0_1;13;070250;Loures
2017_0_1;14;070043;Loures
2017_0_2;0;070043;Loures
2017_0_2;1;070283;Loures
2017_0_2;2;070035;Loures
2017_0_2;3;070037;Loures
2017_0_2;4;070028;Loures
2017_0_2;5;070041;Loures
2017_0_2;6;070026;Loures
2017_0_2;7;070023;Loures
2017_0_2;8;070021;Loures
2017_0_2;9;070019;Loures
2017_0_2;10;070353;Loures
2017_0_2;11;070351;Loures
2017_0_2;12;070349;Loures
2017_0_2;13;070347;Loures
2017_0_2;14;070063;Loures
2020_0_3;0;070313;Loures
2020_0_3;1;070312;Loures
2020_0_3;2;070309;Loures
2020_0_3;3;070315;Loures
2020_0_3;4;070317;Loures
2020_0_3;5;070319;Loures
2020_0_3;6;070301;Loures
2020_0_3;7;070299;Loures
2020_0_3;8;070297;Loures
2020_0_3;9;070295;Loures
2020_0_3;10;070294;Loures
2020_0_3;11;070291;Loures
2020_0_3;12;070289;Loures
2020_0_3;13;070292;Loures
2020_0_3;14;070293;Loures
2020_0_3;15;070296;Loures
2020_0_3;16;070298;Loures
2020_0_3;17;070321;Loures
2020_0_3;18;070365;Loures
2020_0_3;19;070373;Loures
2020_0_3;20;070369;Loures
2020_0_3;21;070364;Loures
2020_0_3;22;070365;Loures
2020_0_3;23;070322;Loures
2020_0_3;24;070300;Loures
2020_0_3;25;070302;Loures
2020_0_3;26;070303;Loures
2020_0_3;27;070305;Loures
2020_0_3;28;070307;Loures
2020_0_3;29;070310;Loures
2020_0_3;30;070311;Loures
2020_0_3;31;070313;Loures
2020_1_1;0;070289;Loures
2020_1_1;1;070292;Loures
2020_1_1;2;070293;Loures
2020_1_1;3;070296;Loures
2020_1_1;4;070298;Loures
2020_1_1;5;070300;Loures
2020_1_1;6;070302;Loures
2020_1_1;7;070303;Loures
2020_1_1;8;070305;Loures
2020_1_1;9;070307;Loures
2020_1_1;10;070310;Loures
2020_1_1;11;070311;Loures
2020_1_1;12;070313;Loures
2020_1_2;0;070313;Loures
2020_1_2;1;070312;Loures
2020_1_2;2;070309;Loures
2020_1_2;3;070315;Loures
2020_1_2;4;070317;Loures
2020_1_2;5;070319;Loures
2020_1_2;6;070301;Loures
2020_1_2;7;070299;Loures
2020_1_2;8;070297;Loures
2020_1_2;9;070295;Loures
2020_1_2;10;070294;Loures
2020_1_2;11;070291;Loures
2020_1_2;12;070289;Loures
2021_0_1;0;070377;Loures
2021_0_1;1;070379;Loures
2021_0_1;2;070381;Loures
2021_0_1;3;070383;Loures
2021_0_1;4;070385;Loures
2021_0_1;5;070388;Loures
2021_0_1;6;070390;Loures
2021_0_1;7;070035;Loures
2021_0_1;8;070037;Loures
2021_0_1;9;070248;Loures
2021_0_1;10;070251;Loures
2021_0_1;11;070243;Loures
2021_0_1;12;070241;Loures
2021_0_1;13;070239;Loures
2021_0_1;14;070237;Loures
2021_0_1;15;070235;Loures
2021_0_1;16;070392;Loures
2021_0_1;17;070394;Loures
2021_0_1;18;070395;Loures
2021_0_1;19;070397;Loures
2021_0_1;20;070399;Loures
2021_0_1;21;070401;Loures
2021_0_1;22;070403;Loures
2021_0_1;23;070405;Loures
2021_0_1;24;070407;Loures
2021_0_1;25;070410;Loures
2021_0_1;26;070411;Loures
2021_0_1;27;070413;Loures
2021_0_1;28;070415;Loures
2021_0_1;29;070418;Loures
2021_0_1;30;070420;Loures
2021_0_1;31;070421;Loures
2021_0_1;32;070423;Loures
2021_0_1;33;070426;Loures
2021_0_1;34;070427;Loures
2021_0_2;0;070427;Loures
2021_0_2;1;070425;Loures
2021_0_2;2;070430;Loures
2021_0_2;3;070431;Loures
2021_0_2;4;070419;Loures
2021_0_2;5;070417;Loures
2021_0_2;6;070416;Loures
2021_0_2;7;070414;Loures
2021_0_2;8;070412;Loures
2021_0_2;9;070409;Loures
2021_0_2;10;070408;Loures
2021_0_2;11;070406;Loures
2021_0_2;12;070404;Loures
2021_0_2;13;070433;Loures
2021_0_2;14;070400;Loures
2021_0_2;15;070398;Loures
2021_0_2;16;070396;Loures
2021_0_2;17;070393;Loures
2021_0_2;18;070391;Loures
2021_0_2;19;070236;Loures
2021_0_2;20;070238;Loures
2021_0_2;21;070240;Loures
2021_0_2;22;070242;Loures
2021_0_2;23;070244;Loures
2021_0_2;24;070252;Loures
2021_0_2;25;070247;Loures
2021_0_2;26;070029;Loures
2021_0_2;27;070032;Loures
2021_0_2;28;070250;Loures
2021_0_2;29;070389;Loures
2021_0_2;30;070435;Loures
2021_0_2;31;070437;Loures
2021_0_2;32;070439;Loures
2021_0_2;33;070441;Loures
2021_0_2;34;070443;Loures
2021_1_1;0;070377;Loures
2021_1_1;1;070379;Loures
2021_1_1;2;070381;Loures
2021_1_1;3;070383;Loures
2021_1_1;4;070385;Loures
2021_1_1;5;070388;Loures
2021_1_1;6;070390;Loures
2021_1_1;7;070035;Loures
2021_1_1;8;070037;Loures
2021_1_1;9;070248;Loures
2021_1_1;10;070251;Loures
2021_1_1;11;070243;Loures
2021_1_1;12;070241;Loures
2021_1_1;13;070239;Loures
2021_1_1;14;070237;Loures
2021_1_1;15;070235;Loures
2021_1_1;16;070392;Loures
2021_1_1;17;070394;Loures
2021_1_1;18;070395;Loures
2021_1_1;19;070397;Loures
2021_1_1;20;070399;Loures
2021_1_1;21;070401;Loures
2021_1_1;22;070403;Loures
2021_1_1;23;070405;Loures
2021_1_1;24;070407;Loures
2021_1_1;25;070410;Loures
2021_1_1;26;070445;Loures
2021_1_1;27;070411;Loures
2021_1_1;28;070413;Loures
2021_1_1;29;070415;Loures
2021_1_1;30;070418;Loures
2021_1_1;31;070420;Loures
2021_1_1;32;070421;Loures
2021_1_1;33;070447;Loures
2021_1_1;34;070449;Loures
2021_1_1;35;070451;Loures
2021_1_1;36;070423;Loures
2021_1_1;37;070426;Loures
2021_1_1;38;070427;Loures
2021_1_2;0;070427;Loures
2021_1_2;1;070425;Loures
2021_1_2;2;070430;Loures
2021_1_2;3;070431;Loures
2021_1_2;4;070447;Loures
2021_1_2;5;070449;Loures
2021_1_2;6;070451;Loures
2021_1_2;7;070419;Loures
2021_1_2;8;070417;Loures
2021_1_2;9;070416;Loures
2021_1_2;10;070414;Loures
2021_1_2;11;070445;Loures
2021_1_2;12;070412;Loures
2021_1_2;13;070409;Loures
2021_1_2;14;070408;Loures
2021_1_2;15;070406;Loures
2021_1_2;16;070404;Loures
2021_1_2;17;070433;Loures
2021_1_2;18;070400;Loures
2021_1_2;19;070398;Loures
2021_1_2;20;070396;Loures
2021_1_2;21;070393;Loures
2021_1_2;22;070391;Loures
2021_1_2;23;070236;Loures
2021_1_2;24;070238;Loures
2021_1_2;25;070240;Loures
2021_1_2;26;070242;Loures
2021_1_2;27;070244;Loures
2021_1_2;28;070252;Loures
2021_1_2;29;070247;Loures
2021_1_2;30;070029;Loures
2021_1_2;31;070032;Loures
2021_1_2;32;070250;Loures
2021_1_2;33;070389;Loures
2021_1_2;34;070435;Loures
2021_1_2;35;070437;Loures
2021_1_2;36;070439;Loures
2021_1_2;37;070441;Loures
2021_1_2;38;070443;Loures
2021_2_1;0;070388;Loures
2021_2_1;1;070390;Loures
2021_2_1;2;070035;Loures
2021_2_1;3;070037;Loures
2021_2_1;4;070248;Loures
2021_2_1;5;070251;Loures
2021_2_1;6;070243;Loures
2021_2_1;7;070241;Loures
2021_2_1;8;070239;Loures
2021_2_1;9;070237;Loures
2021_2_1;10;070235;Loures
2021_2_1;11;070392;Loures
2021_2_1;12;070394;Loures
2021_2_1;13;070395;Loures
2021_2_1;14;070397;Loures
2021_2_1;15;070399;Loures
2021_2_1;16;070401;Loures
2021_2_1;17;070403;Loures
2021_2_1;18;070405;Loures
2021_2_1;19;070407;Loures
2021_2_1;20;070410;Loures
2021_2_1;21;070411;Loures
2021_2_1;22;070413;Loures
2021_2_1;23;070415;Loures
2021_2_1;24;070418;Loures
2021_2_1;25;070420;Loures
2021_2_1;26;070421;Loures
2021_2_1;27;070423;Loures
2021_2_1;28;070426;Loures
2021_2_1;29;070427;Loures
2021_2_2;0;070427;Loures
2021_2_2;1;070425;Loures
2021_2_2;2;070430;Loures
2021_2_2;3;070431;Loures
2021_2_2;4;070419;Loures
2021_2_2;5;070417;Loures
2021_2_2;6;070416;Loures
2021_2_2;7;070414;Loures
2021_2_2;8;070412;Loures
2021_2_2;9;070409;Loures
2021_2_2;10;070408;Loures
2021_2_2;11;070406;Loures
2021_2_2;12;070404;Loures
2021_2_2;13;070433;Loures
2021_2_2;14;070400;Loures
2021_2_2;15;070398;Loures
2021_2_2;16;070396;Loures
2021_2_2;17;070393;Loures
2021_2_2;18;070391;Loures
2021_2_2;19;070236;Loures
2021_2_2;20;070238;Loures
2021_2_2;21;070240;Loures
